Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2007,Institutional Characteristics,Directory information,HD2007,HD2007_STATA,"SPSS, SAS, STATA",Dictionary
2007,Institutional Characteristics,"Educational offerings, organization, admissions, services and athletic associations",IC2007,IC2007_STATA,"SPSS, SAS, STATA",Dictionary
2007,Institutional Characteristics,Student charges for academic year programs,IC2007_AY,IC2007_AY_STATA,"SPSS, SAS, STATA",Dictionary
2007,Institutional Characteristics,Student charges by program (vocational programs),IC2007_PY,IC2007_PY_STATA,"SPSS, SAS, STATA",Dictionary
2007,Institutional Characteristics,Institutions's mission statement,IC2007Mission,IC2007Mission_STATA,"SPSS, SAS, STATA",Dictionary
2007,Institutional Characteristics,Response status for all survey components(revised May 2017),FLAGS2007,FLAGS2007_STATA,"SPSS, SAS, STATA",Dictionary
2007,12-Month Enrollment,12-month unduplicated headcount: 2006-07(revised May 2017),EFFY2007,EFFY2007_STATA,"SPSS, SAS, STATA",Dictionary
2007,12-Month Enrollment,12-month instructional activity: 2006-07(revised May 2017),EFIA2007,EFIA2007_STATA,"SPSS, SAS, STATA",Dictionary
2007,Admissions and Test Scores,"Educational offerings, organization, applications, admissions, enrollees, test scores, services and athletic associations",IC2007,IC2007_STATA,"SPSS, SAS, STATA",Dictionary
2007,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2007(revised May 2017)",EF2007A,EF2007A_STATA,"SPSS, SAS, STATA",Dictionary
2007,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2007(revised May 2017)",EF2007B,EF2007B_STATA,"SPSS, SAS, STATA",Dictionary
2007,Fall Enrollment,Residence and migration of first-time freshman: Fall 2007(revised May 2017),EF2007C,EF2007C_STATA,"SPSS, SAS, STATA",Dictionary
2007,Fall Enrollment,Total entering class and retention rates: Fall 2007(revised May 2017),EF2007D,EF2007D_STATA,"SPSS, SAS, STATA",Dictionary
2007,Fall Enrollment,Estimated enrollment: Fall 2007,EFEST2007,EFEST2007_STATA,"SPSS, SAS, STATA",Dictionary
