Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2005,Institutional Characteristics,Directory information,HD2005,HD2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Institutional Characteristics,Response status for all survey components,FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Institutional Characteristics,"Educational offerings,organization,  admissions, services and athletic associations",IC2005,IC2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Institutional Characteristics,Student charges for academic year programs,IC2005_AY,IC2005_AY_STATA,"SPSS, SAS, STATA",Dictionary
2005,Institutional Characteristics,Student charges by program (vocational programs),IC2005_PY,IC2005_PY_STATA,"SPSS, SAS, STATA",Dictionary
2005,Institutional Characteristics,Institution's mission statement,IC2005Mission,IC2005Mission_STATA,"SPSS, SAS, STATA",Dictionary
2005,12-Month Enrollment,12-month unduplicated headcount: 2004-05(revised April 2020),EFFY2005,EFFY2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,12-Month Enrollment,12-month instructional activity: 2004-05(revised April 2020),EFIA2005,EFIA2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Admissions and Test Scores,"Educational offerings, organization, applications, admissions, enrollees, test scores, services and athletic associations",IC2005,IC2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2005(revised April 2020)",EF2005A,EF2005A_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2005(revised April 2020)",EF2005B,EF2005B_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Enrollment,Residence and migration of first-time freshman: Fall 2005(revised April 2020),EF2005C,EF2005C_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Enrollment,Total entering class and retention rates: Fall 2005(revised April 2020),EF2005D,EF2005D_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Enrollment,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: 2004-05(revised April 2020)",C2005_A,C2005_A_STATA,"SPSS, SAS, STATA",Dictionary
2005,Completions,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Instructional Staff/Salaries,"Salaries of full-time instructional faculty, by contract length, gender, and academic rank: Academic year 2005-06(revised April 2020)",SAL2005_A,SAL2005_A_STATA,"SPSS, SAS, STATA",Dictionary
2005,Instructional Staff/Salaries,"Fringe benefits of full-time instructional faculty, by contract length: Academic year 2005-06(revised April 2020)",SAL2005_B,SAL2005_B_STATA,"SPSS, SAS, STATA",Dictionary
2005,Instructional Staff/Salaries,"Number of full-time instructional faculty with less than 9-month contracts, by gender and academic rank: Academic year 2005-06(revised April 2020)",SAL2005_A_LT9,SAL2005_A_LT9_STATA,"SPSS, SAS, STATA",Dictionary
2005,Instructional Staff/Salaries,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Staff,"Employees by primary occupation, salary categories, race/ethnicity, and gender (Degree-granting institutions): Fall 2005(revised April 2020)",S2005_ABD,S2005_ABD_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Staff,"Full-time faculty, by tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2005(revised April 2020)",S2005_F,S2005_F_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Staff,"New hires by primary occupation, race/ethnicity, and gender (Degree-granting institutions): Fall 2005(revised April 2020)",S2005_G,S2005_G_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Staff,"Employees by primary occupation, race/ethnicity, and gender (Nondegree-granting institutions): Fall 2005",S2005_CN,S2005_CN_STATA,"SPSS, SAS, STATA",Dictionary
2005,Fall Staff,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Employees by Assigned Position,"Employees by faculty status, primary function/occupational activity: Fall 2005(revised April 2020)",EAP2005,EAP2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Employees by Assigned Position,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Finance,Public institutions - GASB 34/35: Fiscal year 2005(revised April 2020),F0405_F1A,F0405_F1A_STATA,"SPSS, SAS, STATA",Dictionary
2005,Finance,Public institutions - GASB 34/35 (Component units using FASB): Fiscal year 2005(revised April 2020),F0405_F1A_F,F0405_F1A_F_STATA,"SPSS, SAS, STATA",Dictionary
2005,Finance,Public institutions - GASB 34/35 (Component units using GASB): Fiscal year 2005(revised April 2020),F0405_F1A_G,F0405_F1A_G_STATA,"SPSS, SAS, STATA",Dictionary
2005,Finance,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2005(revised April 2020),F0405_F2,F0405_F2_STATA,"SPSS, SAS, STATA",Dictionary
2005,Finance,Private for-profit institutions: Fiscal year 2005(revised April 2020),F0405_F3,F0405_F3_STATA,"SPSS, SAS, STATA",Dictionary
2005,Finance,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Student Financial Aid and Net Price,Student financial aid: Academic year 2004-05(revised April 2020),SFA0405,SFA0405_STATA,"SPSS, SAS, STATA",Dictionary
2005,Student Financial Aid and Net Price,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Graduation Rates,Graduation rate data for cohort year 1999 (4-year) and cohort year 2002 (2-year) institutions(revised April 2020),GR2005,GR2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Graduation Rates,Graduation rate data for cohort year 2002 (less-than-2-year institutions)(revised April 2020),GR2005_L2,GR2005_L2_STATA,"SPSS, SAS, STATA",Dictionary
2005,Graduation Rates,"Graduation rate data by sport for full-time, first-time degree/certificate-seeking students receiving athletically-related student aid for cohort year 1999 (4-year) and cohort year 2002 (2-year) institutions(revised April 2020)",GR2005ATH,GR2005ATH_STATA,"SPSS, SAS, STATA",Dictionary
2005,Graduation Rates,Number of full-time undergraduate degree/certificate-seeking students receiving athletically-related student aid in 2004-05 (4-year and 2-year institutions)(revised April 2020),GR2005_ATH_AID,GR2005_ATH_AID_STATA,"SPSS, SAS, STATA",Dictionary
2005,Graduation Rates,Response status for all survey components(revised April 2020),FLAGS2005,FLAGS2005_STATA,"SPSS, SAS, STATA",Dictionary
2005,Frequently used/Derived variables,Variables from the 2005 data collection presented in the 2006 IPEDS Data Feedback Report,DFR2005,DFR2005_STATA,"SPSS, SAS, STATA",Dictionary
