Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2003,Institutional Characteristics,"Directory information, response status for all surveys and derived variables",HD2003,HD2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,Institutional Characteristics,"Educational offerings, organization, accreditation, admissions,services and athletic associations",IC2003,IC2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,Institutional Characteristics,Student charges for academic year programs,IC2003_AY,IC2003_AY_STATA,"SPSS, SAS, STATA",Dictionary
2003,Institutional Characteristics,Student charges by program (vocational programs),IC2003_PY,IC2003_PY_STATA,"SPSS, SAS, STATA",Dictionary
2003,12-Month Enrollment,12-month unduplicated headcount: 2002-03,EFFY2003,EFFY2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,12-Month Enrollment,12-month instructional activity: 2002-03,EFIA2003,EFIA2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,Admissions and Test Scores,"Educational offerings, organization, accreditation, applications, admissions, enrollees, test scores, services and athletic associations",IC2003,IC2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2003",EF2003A,EF2003A_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2003",EF2003B,EF2003B_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Enrollment,Residence and migration of first-time freshman: Fall 2003,EF2003C,EF2003C_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Enrollment,Total entering class  and retention rates: Fall 2003,EF2003D,EF2003D_STATA,"SPSS, SAS, STATA",Dictionary
2003,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: 2002-03",C2003_A,C2003_A_STATA,"SPSS, SAS, STATA",Dictionary
2003,Instructional Staff/Salaries,"Salaries of full-time instructional faculty,  by contract length, gender, and academic rank: Academic year 2003-04",SAL2003_A,SAL2003_A_STATA,"SPSS, SAS, STATA",Dictionary
2003,Instructional Staff/Salaries,"Fringe benefits of full-time instructional faculty, by contract length: Academic year 2003-04",SAL2003_B,SAL2003_B_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Staff,"Employees by primary occupation, race/ethnicity, and gender (Degree-granting institutions): Fall 2003",S2003_ABD,S2003_ABD_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Staff,"Full-time faculty, by tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2003",S2003_F,S2003_F_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Staff,"New hires by primary occupation, race/ethnicity, and gender (Degree-granting institutions): Fall 2003",S2003_G,S2003_G_STATA,"SPSS, SAS, STATA",Dictionary
2003,Fall Staff,"Employees by primary occupation, race/ethnicity, and gender (Nondegree-granting institutions): Fall 2003",S2003_CN,S2003_CN_STATA,"SPSS, SAS, STATA",Dictionary
2003,Employees by Assigned Position,"Employees by faculty status, primary function/occupational activity: Fall 2003",EAP2003,EAP2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,Finance,Public institutions - GASB Reporting Standards before (GASB 34/35): Fiscal year 2003,F0203_F1,F0203_F1_STATA,"SPSS, SAS, STATA",Dictionary
2003,Finance,Public institutions - GASB 34/35: Fiscal year 2003,F0203_F1A,F0203_F1A_STATA,"SPSS, SAS, STATA",Dictionary
2003,Finance,Public institutions - GASB 34/35 (Component units using FASB): Fiscal year 2003,F0203_F1A_F,F0203_F1A_F_STATA,"SPSS, SAS, STATA",Dictionary
2003,Finance,Public institutions - GASB 34/35 (Component units using GASB): Fiscal year 2003,F0203_F1A_G,F0203_F1A_G_STATA,"SPSS, SAS, STATA",Dictionary
2003,Finance,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2003,F0203_F2,F0203_F2_STATA,"SPSS, SAS, STATA",Dictionary
2003,Finance,Private for-profit institutions: Fiscal year 2003,F0203_F3,F0203_F3_STATA,"SPSS, SAS, STATA",Dictionary
2003,Student Financial Aid and Net Price,Student financial aid: Academic year 2002-03,SFA0203,SFA0203_STATA,"SPSS, SAS, STATA",Dictionary
2003,Graduation Rates,Graduation rate data for cohort year 1997 (4-year) and cohort year 2000 (2-year and less-than-2-year) institutions,GR2003,GR2003_STATA,"SPSS, SAS, STATA",Dictionary
2003,Graduation Rates,"Graduation rate data by sport for full-time, first-time degree/certificate-seeking students receiving athletically-related student aid for cohort year 1997 (4-year) and cohort year 2000 (2-year) institutions",GR2003ATH,GR2003ATH_STATA,"SPSS, SAS, STATA",Dictionary
2003,Graduation Rates,Number of full-time undergraduate degree/certificate-seeking students receiving athletically-related student aid in 2002-03 (4-year and 2-year institutions),GR2003_ATH_AID,GR2003_ATH_AID_STATA,"SPSS, SAS, STATA",Dictionary
