Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2004,Institutional Characteristics,Directory information,HD2004,HD2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,Institutional Characteristics,Response status for all survey components,FLAGS2004,FLAGS2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,Institutional Characteristics,"Educational offerings,organization, accreditation, admissions, services and athletic associations",IC2004,IC2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,Institutional Characteristics,Student charges for academic year programs,IC2004_AY,IC2004_AY_STATA,"SPSS, SAS, STATA",Dictionary
2004,Institutional Characteristics,Student charges by program (vocational programs),IC2004_PY,IC2004_PY_STATA,"SPSS, SAS, STATA",Dictionary
2004,Institutional Characteristics,Instiution's mission statement,IC2004Mission,IC2004Mission_STATA,"SPSS, SAS, STATA",Dictionary
2004,12-Month Enrollment,12-month unduplicated headcount: 2003-04(revised April 2020),EFFY2004,EFFY2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,12-Month Enrollment,12-month instructional activity: 2003-04(revised April 2020),EFIA2004,EFIA2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,Admissions and Test Scores,"Educational offerings, organization, applications, admissions, enrollees, test scores, services and athletic associations",IC2004,IC2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2004(revised April 2020)",EF2004A,EF2004A_STATA,"SPSS, SAS, STATA",Dictionary
2004,Fall Enrollment,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2004(revised April 2020)",EF2004CP,EF2004CP_STATA,"SPSS, SAS, STATA",Dictionary
2004,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2004(revised April 2020)",EF2004B,EF2004B_STATA,"SPSS, SAS, STATA",Dictionary
2004,Fall Enrollment,Residence and migration of first-time freshman: Fall 2004(revised April 2020),EF2004C,EF2004C_STATA,"SPSS, SAS, STATA",Dictionary
2004,Fall Enrollment,Total entering class and retention rates: Fall 2004(revised April 2020),EF2004D,EF2004D_STATA,"SPSS, SAS, STATA",Dictionary
2004,Fall Enrollment,Response status for all survey components(revised April 2020),FLAGS2004,FLAGS2004_STATA,"SPSS, SAS, STATA",Dictionary
2004,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: 2003-04(revised April 2020)",C2004_A,C2004_A_STATA,"SPSS, SAS, STATA",Dictionary
