Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2002,Institutional Characteristics,"Directory information, response status for all surveys and derived variables",HD2002,HD2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,Institutional Characteristics,"Educational offerings,organization, accreditation, admissions, services and athletic associations",IC2002,IC2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,Institutional Characteristics,Student charges for academic year programs,IC2002_AY,IC2002_AY_STATA,"SPSS, SAS, STATA",Dictionary
2002,Institutional Characteristics,Student charges by program (vocational programs),IC2002_PY,IC2002_PY_STATA,"SPSS, SAS, STATA",Dictionary
2002,12-Month Enrollment,12-month unduplicated enrollment: 2001-02,EFFY2002,EFFY2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,12-Month Enrollment,12-month instructional activity: 2001-02,EFIA2002,EFIA2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,Admissions and Test Scores,"Educational offerings, organization, accreditation, applications, admissions, enrollees, test scores, services and athletic associations",IC2002,IC2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2002",EF2002A,EF2002A_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Enrollment,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2002",EF2002CP,EF2002CP_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2002",EF2002B,EF2002B_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Enrollment,Residence and migration of first-time freshman: Fall 2002,EF2002C,EF2002C_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Enrollment,Total entering class: Fall 2002,EF2002D,EF2002D_STATA,"SPSS, SAS, STATA",Dictionary
2002,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: 2001-02",C2002_A,C2002_A_STATA,"SPSS, SAS, STATA",Dictionary
2002,Instructional Staff/Salaries,"Salaries of full-time instructional faculty,  by contract length, gender, and academic rank - academic year 2002-03",SAL2002_A,SAL2002_A_STATA,"SPSS, SAS, STATA",Dictionary
2002,Instructional Staff/Salaries,"Fringe benefits of full-time instructional faculty, by contract length - academic year 2002-03",SAL2002_B,SAL2002_B_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Staff,"Employees by primary occupation, race/ethnicity, and gender (Degree-granting institutions) - fall 2002",S2002_ABD,S2002_ABD_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Staff,"Full-time faculty, by tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions) - fall 2002",S2002_F,S2002_F_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Staff,"New hires by primary occupation, race/ethnicity, and gender (Degree-granting institutions) - fall 2002",S2002_G,S2002_G_STATA,"SPSS, SAS, STATA",Dictionary
2002,Fall Staff,"Employees by primary occupation, race/ethnicity, and gender (Nondegree-granting institutions) - fall 2002",S2002_CN,S2002_CN_STATA,"SPSS, SAS, STATA",Dictionary
2002,Employees by Assigned Position,"Employees by faculty status, primary function/occupational activity - fall 2002",EAP2002,EAP2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,Finance,"Public institutions - GASB Reporting Standards before (GASB 34/35), fiscal year 2002",F0102_F1,F0102_F1_STATA,"SPSS, SAS, STATA",Dictionary
2002,Finance,"Public institutions - GASB 34/35, fiscal year 2002",F0102_F1A,F0102_F1A_STATA,"SPSS, SAS, STATA",Dictionary
2002,Finance,"Public institutions - GASB 34/35 (Component units using FASB), fiscal year 2002",F0102_F1A_F,F0102_F1A_F_STATA,"SPSS, SAS, STATA",Dictionary
2002,Finance,"Public institutions - GASB 34/35 (Component units using GASB), fiscal year 2002",F0102_F1A_G,F0102_F1A_G_STATA,"SPSS, SAS, STATA",Dictionary
2002,Finance,"Private not-for-profit institutions or Public institutions using FASB, fiscal year 2002",F0102_F2,F0102_F2_STATA,"SPSS, SAS, STATA",Dictionary
2002,Finance,"Private for-profit institutions, fiscal year 2002",F0102_F3,F0102_F3_STATA,"SPSS, SAS, STATA",Dictionary
2002,Student Financial Aid and Net Price,Student financial aid: Academic year 2001-02,SFA0102,SFA0102_STATA,"SPSS, SAS, STATA",Dictionary
2002,Graduation Rates,Graduation rate data for cohort year 1996 (4-year) and cohort year 1999 (2-year and less-than-2-year) institutions,GR2002,GR2002_STATA,"SPSS, SAS, STATA",Dictionary
2002,Graduation Rates,"Graduation rate data by sport for full-time, first-time degree/certificate-seeking students receiving athletically-related student aid for cohort year 1996 (4-year) and cohort year 1999 (2-year) institutions",GR2002ATH,GR2002ATH_STATA,"SPSS, SAS, STATA",Dictionary
2002,Graduation Rates,Number of full-time undergraduate degree/certificate-seeking students receiving athletically-related student aid in 2001-02 (4-year and 2-year institutions),GR2002_ATH_AID,GR2002_ATH_AID_STATA,"SPSS, SAS, STATA",Dictionary
